--RECOMENDADOR BASADO EN CONOCIMIENTO--
ANALISIS DE CADA DOCUMENTO
Documento 0

N.  Termino              TF         IDF        TF-IDF    

1   aromas               1.0        0.398      0.398     
2   include              1.0        1.0        1.0       
3   tropical             1.0        1.0        1.0       
4   fruit                1.0        0.699      0.699     
5   broom                1.0        1.0        1.0       
6   brimstone            1.0        1.0        1.0       
7   dried                1.301      0.523      0.68      
8   herb                 1.0        0.699      0.699     
9   palate               1.0        0.523      0.523     
10  overly               1.0        1.0        1.0       
11  expressive           1.0        1.0        1.0       
12  offer                1.0        0.699      0.699     
13  unripened            1.0        1.0        1.0       
14  apple                1.0        0.699      0.699     
15  citrus               1.0        1.0        1.0       
16  sage                 1.0        1.0        1.0       
17  brisk                1.0        0.699      0.699     
18  acidity              1.0        0.155      0.155     
--------------------------------------------------------

Documento 1

N.  Termino              TF         IDF        TF-IDF    

1   acidity              1.0        0.155      0.155     
2   ripe                 1.0        1.0        1.0       
3   fruity               1.0        0.699      0.699     
4   wine                 1.0        0.301      0.301     
5   smooth               1.0        1.0        1.0       
6   structured           1.0        1.0        1.0       
7   firm                 1.0        0.699      0.699     
8   tannins              1.0        0.699      0.699     
9   fill                 1.0        1.0        1.0       
10  juicy                1.0        1.0        1.0       
11  berry                1.0        0.699      0.699     
12  fruits               1.0        0.699      0.699     
13  freshened            1.0        1.0        1.0       
14  drinkable            1.0        1.0        1.0       
15  2016                 1.0        1.0        1.0       
--------------------------------------------------------

Documento 2

N.  Termino              TF         IDF        TF-IDF    

1   acidity              1.0        0.155      0.155     
2   wine                 1.0        0.301      0.301     
3   tart                 1.0        1.0        1.0       
4   snappy               1.0        1.0        1.0       
5   flavors              1.301      0.398      0.518     
6   lime                 1.0        1.0        1.0       
7   flesh                1.0        1.0        1.0       
8   rind                 1.0        0.699      0.699     
9   dominate             1.0        1.0        1.0       
10  green                1.0        0.699      0.699     
11  pineapple            1.0        0.699      0.699     
12  pokes                1.0        1.0        1.0       
13  crisp                1.0        0.699      0.699     
14  underscoring         1.0        1.0        1.0       
15  stainlesssteel       1.0        1.0        1.0       
16  fermented            1.0        1.0        1.0       
--------------------------------------------------------

Documento 3

N.  Termino              TF         IDF        TF-IDF    

1   aromas               1.0        0.398      0.398     
2   palate               1.0        0.523      0.523     
3   rind                 1.0        0.699      0.699     
4   pineapple            1.0        0.699      0.699     
5   lemon                1.0        1.0        1.0       
6   pith                 1.0        1.0        1.0       
7   orange               1.0        1.0        1.0       
8   blossom              1.0        1.0        1.0       
9   start                1.0        1.0        1.0       
10  bite                 1.0        1.0        1.0       
11  opulent              1.0        1.0        1.0       
12  note                 1.0        0.699      0.699     
13  honeydrizzled        1.0        1.0        1.0       
14  guava                1.0        1.0        1.0       
15  mango                1.0        1.0        1.0       
16  give                 1.0        1.0        1.0       
17  slightly             1.0        1.0        1.0       
18  astringent           1.0        1.0        1.0       
19  semidry              1.0        1.0        1.0       
20  finish               1.0        0.699      0.699     
--------------------------------------------------------

Documento 4

N.  Termino              TF         IDF        TF-IDF    

1   wine                 1.0        0.301      0.301     
2   regular              1.0        1.0        1.0       
3   bottling             1.0        1.0        1.0       
4   2012                 1.0        1.0        1.0       
5   tannic               1.0        1.0        1.0       
6   rustic               1.0        1.0        1.0       
7   earthy               1.0        1.0        1.0       
8   herbal               1.0        0.699      0.699     
9   characteristics      1.0        1.0        1.0       
10  pleasantly           1.0        1.0        1.0       
11  unfussy              1.0        1.0        1.0       
12  country              1.0        1.0        1.0       
13  good                 1.0        1.0        1.0       
14  companion            1.0        1.0        1.0       
15  hearty               1.0        1.0        1.0       
16  winter               1.0        1.0        1.0       
17  stew                 1.0        1.0        1.0       
--------------------------------------------------------

Documento 5

N.  Termino              TF         IDF        TF-IDF    

1   aromas               1.0        0.398      0.398     
2   fruit                1.0        0.699      0.699     
3   acidity              1.0        0.155      0.155     
4   flavors              1.0        0.398      0.398     
5   green                1.0        0.699      0.699     
6   finish               1.0        0.699      0.699     
7   herbal               1.0        0.699      0.699     
8   blackberry           1.0        1.0        1.0       
9   raspberry            1.0        1.0        1.0       
10  show                 1.0        1.0        1.0       
11  typical              1.0        1.0        1.0       
12  navarran             1.0        1.0        1.0       
13  whiff                1.0        1.0        1.0       
14  herbs                1.0        1.0        1.0       
15  case                 1.0        1.0        1.0       
16  horseradish          1.0        1.0        1.0       
17  mouth                1.0        1.0        1.0       
18  bodied               1.0        1.0        1.0       
19  tomatoey             1.0        1.0        1.0       
20  spicy                1.0        1.0        1.0       
21  complement           1.0        1.0        1.0       
22  dark                 1.0        1.0        1.0       
23  plum                 1.0        1.0        1.0       
24  fresh                1.0        0.398      0.398     
25  grabby               1.0        1.0        1.0       
--------------------------------------------------------

Documento 6

N.  Termino              TF         IDF        TF-IDF    

1   aromas               1.0        0.398      0.398     
2   herb                 1.0        0.699      0.699     
3   palate               1.0        0.523      0.523     
4   acidity              1.0        0.155      0.155     
5   tannins              1.0        0.699      0.699     
6   berry                1.0        0.699      0.699     
7   fresh                1.0        0.398      0.398     
